Power (kw),Power-1,Temp.(ºC),SolarRad(W/m2),Holiday,Weekend,Hour,Sin_hour
113.2281605,114.7711201,12.124166666666667,1.1951666666666665,0,1,6,0.0
111.8078507,113.2281605,12.638333333333334,85.27,0,1,7,0.0
112.7120267,111.8078507,13.4925,250.14166666666665,0,1,8,0.0
111.098533,112.7120267,13.873333333333333,261.8333333333333,0,1,9,0.0
112.7283521,111.098533,14.7525,525.6583333333333,0,1,10,0.0
115.1675343,112.7283521,15.4,649.3083333333333,0,1,11,1.1317961645591699
117.3065803,115.1675343,15.370833333333332,703.9416666666666,0,1,12,3.6647912925192827
118.3453362,117.3065803,15.115,756.6999999999999,0,1,13,5.948036950248172
117.4438811,118.3453362,14.851666666666667,688.8000000000001,0,1,14,7.825933719413469
132.04737,117.4438811,14.501666666666667,528.0749999999999,0,1,15,9.170506038567703
134.6104578,132.04737,13.729166666666666,294.4583333333333,0,1,16,9.89012352617133
137.7468183,134.6104578,13.140833333333333,190.6,0,1,17,9.935745439668286
137.1900803,137.7468183,12.165,23.75491666666667,0,1,18,9.304262721047534
135.8666764,137.1900803,11.608333333333333,0.05533333333333334,0,1,19,8.038709874008541
138.0143037,135.8666764,11.505833333333333,0.03916666666666667,0,1,20,6.225332233652053
133.2351475,138.0143037,11.528333333333334,0.0715,0,1,21,3.987708489420121
135.4047513,133.2351475,11.34153846153846,0.10861538461538461,0,1,22,1.4783290016340547
134.0154179,135.4047513,11.266666666666666,0.15441666666666667,0,1,23,0.0
130.0125554,134.0154179,11.125833333333333,0.11541666666666667,0,0,0,0.0
130.7532681,130.0125554,10.960833333333333,0.25608333333333333,0,0,1,0.0
128.7963131,130.7532681,10.8825,0.10625,0,0,2,0.0
125.5550933,128.7963131,10.654166666666667,0.12691666666666668,0,0,3,0.0
123.4432563,125.5550933,10.303333333333333,0.32083333333333336,0,0,4,0.0
128.3186905,123.4432563,9.9325,0.4246666666666667,0,0,5,0.0
145.0716904,128.3186905,9.934166666666668,1.8233333333333333,0,0,6,0.0
170.0202504,145.0716904,10.226666666666667,85.7275,0,0,7,0.0
223.0476612,170.0202504,10.843333333333334,264.9583333333333,0,0,8,0.0
278.6209972,223.0476612,11.718333333333334,450.2083333333333,0,0,9,0.0
315.6742134,278.6209972,12.635833333333332,602.1833333333333,0,0,10,0.0
311.8917438,315.6742134,13.200833333333334,705.8166666666666,0,0,11,1.1317961645591699
305.2393526,311.8917438,14.006666666666666,756.4166666666666,0,0,12,3.6647912925192827
299.2711631,305.2393526,14.3025,730.225,0,0,13,5.948036950248172
309.4456547,299.2711631,14.738333333333335,676.7333333333333,0,0,14,7.825933719413469
303.9414833,309.4456547,15.026923076923076,543.4,0,0,15,9.170506038567703
300.1646648,303.9414833,14.653333333333334,370.27500000000003,0,0,16,9.89012352617133
268.222136,300.1646648,14.053333333333333,179.3083333333333,0,0,17,9.935745439668286
245.021231,268.222136,13.365833333333333,25.493916666666667,0,0,18,9.304262721047534
205.1338835,245.021231,12.707500000000001,0.1729166666666667,0,0,19,8.038709874008541
162.2650575,205.1338835,12.768333333333333,0.11533333333333334,0,0,20,6.225332233652053
